TOTAL_EVENTS:63
TITLE_ONLY:14
DESC_OR_TAG_ONLY:49
---
37|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
38|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
39|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
40|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
41|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
42|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
43|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
44|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
45|Мастер-класс по росписи елочной игрушки в технике "горячая эмаль"|Москва|Арт-резиденция Музея эмальерного искусства "Эмалис"|без сеансов|от 3699 ₽|описание/тег
46|на киностудию Ленфильм|Санкт-Петербург|Ленфильм экскурсия|26 сент. 2026 г., 14:00|от 1100 ₽|описание/тег
47|Новогоднее шоу "Анна и Эльза" - часть 3.|Санкт-Петербург|МТС Live Холл Санкт-Петербург|27 дек. 2026 г., 11:00|от 800 ₽|название
48|Приключения Электроников|Санкт-Петербург|Jagger Club|28 авг. 2026 г., 20:00|от 1500 ₽|описание/тег
49|Сборный новогодний корпоратив 18 декабря 2026 в банкетном зале Арбат Холл|Не указан|Банкетный зал Arbat Hall|18 дек. 2026 г., 18:00|от 19900 ₽|название
50|Сборный новогодний корпоратив 25 декабря 2026 в банкетном зале Арбат Холл|Не указан|Банкетный зал Арбат Холл|25 дек. 2026 г., 18:00|от 19900 ₽|название
51|СОФИЯ АЦБЕХА НЕГГА|Москва|Клуб Алексея Козлова|25 июл. 2026 г., 20:00|от 1500 ₽|описание/тег
52|Творческий мастер-класс по изготовлению подставки из гипса и ароматической свечи|Пермь|Студия свечей OGONEK|20 июл. 2026 г., 14:00|от 1800 ₽|описание/тег
53|Ёлка! Новогоднее лазерное  шоу "Морозко".|Санкт-Петербург|МТС Live Холл Санкт-Петербург|27 дек. 2026 г., 14:30|от 800 ₽|название
54|Ёлка! Новогоднее лазерное шоу "Морозко"|Санкт-Петербург|МТС Live Холл Санкт-Петербург|27 дек. 2026 г., 18:00|от 800 ₽|название
55|Ёлка! Новогоднее шоу  "Морозко"|Воронеж|МТС Live Холл Воронеж|29 дек. 2026 г., 12:00|от 600 ₽|название
56|Ёлка! Новогоднее шоу "Анна и Эльза". Часть-3.|Тула|Дворец культуры железнодорожников|27 дек. 2026 г., 14:00|от 800 ₽|название
57|Ёлка! Новогоднее шоу "Анна и Эльза". Часть-3.|Тула|Дворец культуры железнодорожников|27 дек. 2026 г., 11:00|от 800 ₽|название
58|Ёлка! Новогоднее шоу "Кощеево царство"|Воронеж|МТС Live Холл Воронеж|30 дек. 2026 г., 12:00|от 700 ₽|название
59|Ёлка! Новогоднее шоу "Кощеево царство"|Воронеж|МТС Live Холл Воронеж|30 дек. 2026 г., 15:00|от 700 ₽|название
60|Ёлка! Новогоднее шоу "Кощеево царство"|Воронеж|МТС Live Холл Воронеж|30 дек. 2026 г., 18:00|от 700 ₽|название
61|Ёлка! Новогоднее Шоу под дождём - "Кощеево царство"|Ростов-на-Дону|Ростовский дом офицеров|7 янв. 2027 г., 11:00|от 600 ₽|название
62|Ёлка! Новогоднее шоу!|Ростов-на-Дону|Ростовский дом офицеров|6 янв. 2027 г., 17:00|от 600 ₽|название
63|Ёлка! Новогоднее шоу!|Ростов-на-Дону|Ростовский дом офицеров|6 янв. 2027 г., 14:00|от 600 ₽|название
